make,model,type,year,fuel_type,daily_rate,status,location_city,location_state,location_latitude,location_longitude
Tesla,Model X,suv,2019,ELECTRIC,135,,Seattle,WA,47.449107,-122.308841
Tesla,Model X,suv,2018,ELECTRIC,190,,Tijeras,NM,35.11106,-106.276551
Toyota,Prius,car,2012,HYBRID,35,,Albuquerque,NM,35.127163,-106.566681
Ford,Mustang,car,2018,GASOLINE,75,,Albuquerque,NM,35.149726,-106.711425
Chrysler,Sebring,car,2010,GASOLINE,47,,Albuquerque,NM,35.208659,-106.601008
Mercedes-Benz,GL-Class,suv,2012,GASOLINE,58,,Albuquerque,NM,35.068834,-106.576111
GMC,Yukon XL,suv,2005,GASOLINE,42,,Albuquerque,NM,35.045552,-106.633815
Ford,Expedition,suv,2018,GASOLINE,117,,Albuquerque,NM,35.186542,-106.686481
Ford,Focus RS,car,2016,GASOLINE,102,,Albuquerque,NM,35.061213,-106.629406
Ford,EcoSport,suv,2018,GASOLINE,49,,Albuquerque,NM,35.115363,-106.556911
Ford,F-150,truck,2012,GASOLINE,75,,Albuquerque,NM,35.148891,-106.71102
Toyota,Prius,car,2012,HYBRID,35,,Albuquerque,NM,35.121564,-106.598445
Volkswagen,Tiguan,suv,2018,GASOLINE,88,,Albuquerque,NM,35.078547,-106.497368
Toyota,Avalon Hybrid,car,2013,HYBRID,42,,Albuquerque,NM,35.186381,-106.727808
Saab,3-Sep,car,2011,GASOLINE,42,,Albuquerque,NM,35.161777,-106.535379
Ram,CV Tradesman,minivan,2014,GASOLINE,65,,Albuquerque,NM,35.108365,-106.598589
Jeep,Cherokee,suv,2018,GASOLINE,42,,Albuquerque,NM,35.115653,-106.578805
Porsche,Cayman,car,2007,GASOLINE,116,,Albuquerque,NM,35.161964,-106.535441
Jeep,Wrangler JK,suv,2018,GASOLINE,119,,Albuquerque,NM,35.049006,-106.617357
Ford,Mustang,car,2019,GASOLINE,80,,Santa Fe,NM,35.597391,-106.040869
Ford,Explorer,suv,2012,GASOLINE,97,,Albuquerque,NM,35.190108,-106.747581
Nissan,Rogue,suv,2016,GASOLINE,41,,Albuquerque,NM,35.153704,-106.67937
Tesla,Model S,car,2015,ELECTRIC,171,,Albuquerque,NM,35.213677,-106.724059
Dodge,Charger,car,2014,GASOLINE,50,,Santa Fe,NM,35.648967,-106.046019
Volkswagen,Jetta,car,2019,GASOLINE,49,,Santa Fe,NM,35.597415,-106.042253
Hyundai,Sonata,car,2016,GASOLINE,39,,Santa Fe,NM,35.648514,-106.045212
Chevrolet,Impala,car,2010,GASOLINE,28,,Rio Rancho,NM,35.223908,-106.675636
Hyundai,Accent,car,2015,GASOLINE,32,,Albuquerque,NM,35.163908,-106.577477
Ford,Focus,car,2010,GASOLINE,28,,Albuquerque,NM,35.164391,-106.577068
GMC,Yukon XL,suv,2018,GASOLINE,125,,Grovetown,GA,33.50852,-82.236315
Toyota,Sequoia,suv,2016,GASOLINE,112,,Evans,GA,33.534464,-82.120888
Mercedes-Benz,GLC-Class,suv,2016,GASOLINE,87,,Augusta,GA,33.367664,-81.966226
Ford,Fiesta,car,2019,,47,,Augusta,GA,33.368491,-81.96643
Dodge,Journey,suv,2019,GASOLINE,42,,Augusta,GA,33.483601,-82.110307
Lexus,ES 300h,car,2015,HYBRID,130,,Evans,GA,33.545897,-82.197674
Cadillac,ATS,car,2015,GASOLINE,115,,Augusta,GA,33.513423,-82.027434
Lexus,IS 350,car,2015,GASOLINE,85,,Beech Island,SC,33.501183,-81.907672
smart,fortwo,car,2010,GASOLINE,24,,East Point,GA,33.653209,-84.492165
Land Rover,Range Rover,suv,2016,GASOLINE,144,,Atlanta,GA,33.640717,-84.42758
Tesla,Model 3,car,2020,ELECTRIC,146,,Doraville,GA,33.903748,-84.280355
Porsche,718 Boxster,car,2017,GASOLINE,125,,East Point,GA,33.653768,-84.492429
Mercedes-Benz,S-Class,car,2015,GASOLINE,175,,Grayson,GA,33.906905,-83.960234
BMW,7 Series,car,2018,GASOLINE,200,,Atlanta,GA,33.891295,-84.453929
Mercedes-benz,C-Class,car,2019,GASOLINE,98,,Atlanta,GA,33.903877,-84.277873
BMW,4 Series,car,2018,GASOLINE,96,,Tampa,FL,28.082946,-82.542147
Porsche,Panamera,car,2011,GASOLINE,150,,Atlanta,GA,33.927403,-84.342767
Mercedes-Benz,GLA-Class,suv,2017,GASOLINE,99,,Doraville,GA,33.887491,-84.309188
Volkswagen,Jetta,car,2016,GASOLINE,42,,East Point,GA,33.652468,-84.492432
Acura,MDX,suv,2014,GASOLINE,48,,Fairburn,GA,33.53956,-84.577374
Tesla,Model 3,car,2018,ELECTRIC,134,,Atlanta,GA,33.746442,-84.372238
Chevrolet,Corvette Stingray,car,2014,GASOLINE,155,,Atlanta,GA,33.927684,-84.343055
Audi,A8,car,2015,GASOLINE,130,,Atlanta,GA,33.763413,-84.388602
Nissan,Altima,car,2018,GASOLINE,58,,College Park,GA,33.640695,-84.44519
Audi,A7,car,2017,GASOLINE,112,,Atlanta,GA,33.640655,-84.427646
Audi,RS 7,car,2014,GASOLINE,209,,Atlanta,GA,33.740676,-84.358236
Dodge,Grand Caravan,minivan,2015,GASOLINE,49,,Lawrenceville,GA,33.989753,-84.001209
Jaguar,XJ,car,2016,GASOLINE,129,,Atlanta,GA,33.74053,-84.357869
Tesla,Model S,car,2018,ELECTRIC,159,,Duluth,GA,33.970512,-84.161462
Mercedes-Benz,C-Class,car,2015,GASOLINE,84,,Douglasville,GA,33.722786,-84.703698
Chevrolet,Corvette,car,2017,GASOLINE,175,,Atlanta,GA,33.927109,-84.343284
Mercedes-Benz,S-Class,car,2016,GASOLINE,189,,Atlanta,GA,33.757344,-84.348425
Chevrolet,Camaro,car,2017,GASOLINE,130,,Atlanta,GA,33.640694,-84.444701
Land Rover,Range Rover Sport,suv,2014,GASOLINE,150,,Atlanta,GA,33.757548,-84.349273
Maserati,Quattroporte,car,2016,GASOLINE,125,,Atlanta,GA,33.850713,-84.36596
INFINITI,Q50,car,2018,GASOLINE,76,,Douglasville,GA,33.7233,-84.703291
Chevrolet,Corvette,car,2015,GASOLINE,147,,Atlanta,GA,33.668327,-84.417836
Porsche,Boxster,car,2014,GASOLINE,160,,Snellville,GA,33.807278,-84.045917
Tesla,Model 3,car,2019,ELECTRIC,175,,Decatur,GA,33.709589,-84.266785
Porsche,Cayenne,suv,2014,DIESEL,89,,East Point,GA,33.653333,-84.492314
Ford,Mustang,car,2019,GASOLINE,116,,Atlanta,GA,33.927666,-84.34306
Land Rover,Range Rover Sport,suv,2016,GASOLINE,136,,Atlanta,GA,33.782872,-84.384256
Infiniti,EX35,suv,2008,GASOLINE,56,,Douglasville,GA,33.723699,-84.702829
INFINITI,Q50,car,2018,GASOLINE,64,,East Point,GA,33.653788,-84.491291
Mercedes-Benz,E-Class,car,2016,GASOLINE,90,,East Point,GA,33.653412,-84.492217
Mazda,CX-5,suv,2018,GASOLINE,55,,East Point,GA,33.652998,-84.490885
smart,fortwo,car,2015,GASOLINE,29,,East Point,GA,33.652323,-84.491513
BMW,Z4,car,2008,GASOLINE,78,,Decatur,GA,33.75397,-84.234782
Chevrolet,Camaro,car,2018,GASOLINE,102,,Atlanta,GA,33.926688,-84.343004
Land Rover,Range Rover Evoque,suv,2015,GASOLINE,85,,Atlanta,GA,33.810233,-84.45316
BMW,X4,suv,2018,GASOLINE,98,,Atlanta,GA,33.852298,-84.367605
Infiniti,QX60,suv,2015,GASOLINE,90,,East Point,GA,33.653553,-84.492182
Tesla,Model 3,car,2020,ELECTRIC,150,,Atlanta,GA,33.765511,-84.387509
BMW,6 Series Gran Coupe,car,2013,GASOLINE,149,,Atlanta,GA,33.875355,-84.461555
BMW,M4,car,2015,GASOLINE,195,,Atlanta,GA,33.764041,-84.334534
Mercedes-Benz,C-Class,car,2016,GASOLINE,130,,Alpharetta,GA,34.110042,-84.228422
Tesla,Model X,suv,2018,ELECTRIC,209,,East Point,GA,33.702353,-84.443573
Maserati,Ghibli,car,2015,GASOLINE,123,,Peachtree Corners,GA,33.938981,-84.239727
Mercedes-Benz,GLA-Class,suv,2015,GASOLINE,70,,Atlanta,GA,33.64092,-84.444136
Maserati,Ghibli,car,2015,GASOLINE,250,,Atlanta,GA,33.64054,-84.426852
Chevrolet,Camaro,car,2019,GASOLINE,120,,Atlanta,GA,33.889415,-84.453633
Mercedes-Benz,C-Class,car,2016,GASOLINE,65,,Atlanta,GA,33.879187,-84.456395
BMW,M4,car,2016,GASOLINE,180,,Smyrna,GA,33.878293,-84.48794
Tesla,Model 3,car,2018,ELECTRIC,156,,Atlanta,GA,33.833257,-84.483681
BMW,5 Series,car,2011,GASOLINE,64,,Atlanta,GA,33.784923,-84.381204
Tesla,Model X,suv,2016,ELECTRIC,245,,Atlanta,GA,33.900611,-84.326224
BMW,i8,car,2015,GASOLINE,299,,Fairburn,GA,33.586691,-84.591842
Mercedes-Benz,E-Class,car,2017,GASOLINE,98,,Grayson,GA,33.905743,-83.959959
Land Rover,Range Rover Sport,suv,2018,GASOLINE,140,,Atlanta,GA,33.81319,-84.393162
Chevrolet,Corvette,car,2016,GASOLINE,205,,Clarkston,GA,33.799778,-84.253865
Ford,Fiesta,car,2017,GASOLINE,32,,Atlanta,GA,33.647454,-84.453073
Mercedes-Benz,AMG GT,car,2016,GASOLINE,300,,Atlanta,GA,33.810451,-84.452199
Volkswagen,Arteon,car,2019,GASOLINE,99,,Atlanta,GA,33.875559,-84.462533
Ford,Fiesta,car,2015,GASOLINE,35,,Atlanta,GA,33.878716,-84.456566
Maserati,Ghibli,car,2015,GASOLINE,135,,Atlanta,GA,33.668602,-84.418653
BMW,X6,suv,2018,GASOLINE,150,,Atlanta,GA,33.890901,-84.453496
Mercedes-Benz,SLK-Class,car,2013,GASOLINE,90,,Smyrna,GA,33.849506,-84.520721
Tesla,Model 3,car,2020,ELECTRIC,138,,Atlanta,GA,33.789835,-84.388128
Land Rover,Range Rover Velar,suv,2019,GASOLINE,150,,Atlanta,GA,33.659791,-84.432933
Bentley,Continental GT,car,2005,GASOLINE,385,,Atlanta,GA,33.776537,-84.359708
